name: LITERARY
label: 2019110802
description: Literature and bios

Hunter                            E Jean Carroll             dutton
Anthony Burgess                   Roger Lewis                faber
Bleeding Edge                     Thomas Pynchon             JonathanCape
Love as always: Kurt (Vonnegut)   Loree Rackstraw            DaCapo
The Parade                        Dave Eggers                HamishHamilton
Promiscuous (Portnoys Complaint)  Bernard Avishai            Yale
The Longest Journey               E M Forster                PengClassics
By the Book (writers on writers)  ed Pamela Paul             Picador
Emma                              Jane Austen                PengClassics
The Proud Highway HST letters     ed Douglas Brinkley        Ballantine
A Diversity of Creatures          Rudyard Kipling            PengClassics
Tinker Tailor/Hon Schoolboy/Smileys People John le Carre     Coronet
The Little Drummer Girl                    John le Carre     Penguin
The Great Gatsby (hb)             F Scott Fitzgerald         PengClassics
News from Nowhere                 William Morris             PengClassics
The Crying of Lot 49              Thomas Pynchon             Vintage
