name: VARIOUS
label: 2019102901
description: various books

1Q84 Complete Trilogy                    Murakami            Vintage
Guide to Getting it on 5e                Joannides           GoofyFoot
Guide to buying and selling your home    FIXME               FIXME
Carcassonne book                         FIXME               FIXME
How the hell did this happen?        P J O'Rourke          Grove
Making Headlines                     Chris Mitchell        MelbUni
The Howard Era (essays)              various               Quadrant
Culture of Complaint                 Robert Hughes         NewYorkPublic
The Best of Spectator Aus 2014-2017  ed Dean               WP
Funemployed                          Justin Heazlewood     Affirm
Cypherpunk Revolutionary             Robert Manne          shortblacks
Supermarket Monsters                 Malcolm Knox          Redback
Losing Steak (Tas gaming industry)   James Boyce           Redback
